name,publisher,issn,h_index,keywords,subject_area,open_access,apc_usd,openalex_id,works_count,is_oa,is_in_doaj
Scientific Reports,Nature Portfolio,2045-2322,451,"cancer-related molecular mechanisms research,microrna in disease regulation,rna modifications and cancer,gut microbiota and health,neural dynamics and brain function",Cancer-related molecular mechanisms research,true,1890,https://openalex.org/S196734849,287688,true,true
New England Journal of Medicine,Massachusetts Medical Society,0028-4793,1493,"diverse scientific and economic studies,human auditory perception and evaluation,medical history and innovations,legal cases and commentary,legal case studies and regulations",Diverse Scientific and Economic Studies,false,0,https://openalex.org/S62468778,190068,false,false
Journal of Clinical Oncology,Lippincott Williams & Wilkins,0732-183X,733,"lung cancer treatments and mutations,cancer treatment and pharmacology,colorectal cancer treatments and studies,cancer genomics and diagnostics,cancer immunotherapy and biomarkers",Lung Cancer Treatments and Mutations,false,0,https://openalex.org/S15137598,166346,false,false
日本物理学会講演概要集,日本物理学会講演概要集,,3,"legal and regulatory analysis,linguistic, cultural, and literary studies,military technology and strategies,diverse scientific and economic studies,rare-earth and actinide compounds",Legal and Regulatory Analysis,false,0,https://openalex.org/S4306551207,122888,false,false
Definitions,Definitions,,82,"diverse scientific and economic studies,sarcoma diagnosis and treatment,metabolism and genetic disorders,chronic lymphocytic leukemia research,cancer treatment and pharmacology",Diverse Scientific and Economic Studies,false,0,https://openalex.org/S4363604056,109358,false,false
IEEE Access,Institute of Electrical and Electronics Engineers,2169-3536,358,"advanced mimo systems optimization,microgrid control and optimization,iot and edge/fog computing,advanced neural network applications,network security and intrusion detection",Advanced MIMO Systems Optimization,true,1850,https://openalex.org/S2485537415,106424,true,true
ECS Meeting Abstracts,Institute of Physics,1091-8213,41,"fuel cells and related materials,advancements in battery materials,electrocatalysts for energy conversion,advanced battery materials and technologies,advanced battery technologies research",Fuel Cells and Related Materials,false,0,https://openalex.org/S4210168594,104677,false,false
Radiopaedia.org,Radiopaedia.org,,45,"orthopedic surgery and rehabilitation,shoulder injury and treatment,shoulder and clavicle injuries,musculoskeletal synovial abnormalities and treatments,medical imaging and pathology studies",Orthopedic Surgery and Rehabilitation,false,0,https://openalex.org/S4363604065,90394,false,false
Applied Sciences,Multidisciplinary Digital Publishing Institute,2076-3417,215,"rock mechanics and modeling,geotechnical engineering and underground structures,infrastructure maintenance and monitoring,structural health monitoring techniques,advanced neural network applications",Rock Mechanics and Modeling,true,2300,https://openalex.org/S4210205812,86483,true,true
SpringerReference,SpringerReference,,149,"chemistry and stereochemistry studies,chemical thermodynamics and molecular structure,scientific measurement and uncertainty evaluation,history and developments in astronomy,botany, ecology, and taxonomy studies",Chemistry and Stereochemistry Studies,false,0,https://openalex.org/S4363604060,85772,false,false
